Wavelength (micron)	F2 Net System Transmission with H Filter (BARR MAN114A; Gemini ID H_G0803)(1=100%)
1.3513	0.0000
1.3518	0.0001
1.3523	0.0000
1.3528	0.0001
1.3533	0.0001
1.3538	0.0001
1.3543	0.0000
1.3548	0.0001
1.3553	0.0000
1.3558	0.0000
1.3563	0.0001
1.3568	0.0001
1.3573	0.0001
1.3578	0.0001
1.3583	0.0000
1.3588	0.0001
1.3593	0.0001
1.3598	0.0000
1.3603	0.0001
1.3608	0.0001
1.3613	0.0001
1.3618	0.0001
1.3623	0.0000
1.3628	0.0000
1.3633	0.0001
1.3638	0.0000
1.3643	0.0000
1.3648	0.0001
1.3653	0.0000
1.3658	0.0000
1.3663	0.0001
1.3668	0.0000
1.3673	0.0001
1.3678	0.0000
1.3683	0.0001
1.3688	0.0000
1.3693	0.0000
1.3698	0.0001
1.3703	0.0001
1.3708	0.0000
1.3713	0.0000
1.3718	0.0000
1.3723	0.0000
1.3728	0.0000
1.3733	0.0000
1.3738	0.0001
1.3743	0.0000
1.3748	0.0000
1.3753	0.0000
1.3758	0.0000
1.3763	0.0001
1.3768	0.0000
1.3773	0.0000
1.3778	0.0001
1.3783	0.0000
1.3788	0.0001
1.3793	0.0001
1.3798	0.0001
1.3803	0.0000
1.3808	0.0001
1.3813	0.0000
1.3818	0.0000
1.3823	0.0001
1.3828	0.0000
1.3833	0.0000
1.3838	0.0000
1.3843	0.0000
1.3848	0.0000
1.3853	0.0001
1.3858	0.0001
1.3863	0.0000
1.3868	0.0001
1.3873	0.0001
1.3878	0.0000
1.3883	0.0000
1.3888	0.0001
1.3893	0.0000
1.3898	0.0000
1.3903	0.0000
1.3908	0.0000
1.3913	0.0000
1.3918	0.0000
1.3923	0.0001
1.3928	0.0001
1.3933	0.0001
1.3938	0.0001
1.3943	0.0000
1.3948	0.0001
1.3953	0.0000
1.3958	0.0000
1.3963	0.0000
1.3968	0.0000
1.3973	0.0000
1.3978	0.0000
1.3983	0.0001
1.3988	0.0001
1.3993	0.0001
1.3998	0.0000
1.4003	0.0000
1.4008	0.0001
1.4013	0.0000
1.4018	0.0000
1.4023	0.0000
1.4028	0.0001
1.4033	0.0000
1.4038	0.0001
1.4043	0.0001
1.4048	0.0000
1.4053	0.0000
1.4058	0.0001
1.4063	0.0001
1.4068	0.0001
1.4073	0.0000
1.4078	0.0001
1.4083	0.0000
1.4088	0.0000
1.4093	0.0001
1.4098	0.0001
1.4103	0.0001
1.4108	0.0001
1.4113	0.0001
1.4118	0.0001
1.4123	0.0001
1.4128	0.0000
1.4133	0.0001
1.4138	0.0001
1.4143	0.0000
1.4148	0.0001
1.4153	0.0001
1.4158	0.0001
1.4163	0.0001
1.4168	0.0000
1.4173	0.0001
1.4178	0.0001
1.4183	0.0001
1.4188	0.0000
1.4193	0.0000
1.4198	0.0000
1.4203	0.0000
1.4208	0.0001
1.4213	0.0001
1.4218	0.0001
1.4223	0.0001
1.4228	0.0000
1.4233	0.0001
1.4238	0.0001
1.4243	0.0001
1.4248	0.0001
1.4253	0.0001
1.4258	0.0001
1.4263	0.0001
1.4268	0.0001
1.4273	0.0001
1.4278	0.0001
1.4283	0.0001
1.4288	0.0000
1.4293	0.0001
1.4298	0.0001
1.4303	0.0001
1.4308	0.0001
1.4313	0.0001
1.4318	0.0001
1.4323	0.0001
1.4328	0.0001
1.4333	0.0001
1.4338	0.0001
1.4343	0.0002
1.4348	0.0001
1.4353	0.0002
1.4358	0.0001
1.4363	0.0001
1.4368	0.0002
1.4373	0.0002
1.4378	0.0002
1.4383	0.0002
1.4388	0.0002
1.4393	0.0002
1.4398	0.0002
1.4403	0.0002
1.4408	0.0002
1.4413	0.0002
1.4418	0.0002
1.4423	0.0003
1.4428	0.0003
1.4433	0.0003
1.4438	0.0003
1.4443	0.0003
1.4448	0.0003
1.4453	0.0003
1.4458	0.0003
1.4463	0.0004
1.4468	0.0004
1.4473	0.0005
1.4478	0.0005
1.4483	0.0005
1.4488	0.0005
1.4493	0.0006
1.4498	0.0006
1.4503	0.0007
1.4508	0.0007
1.4513	0.0008
1.4518	0.0009
1.4523	0.0009
1.4528	0.0010
1.4533	0.0011
1.4538	0.0012
1.4543	0.0013
1.4548	0.0014
1.4553	0.0015
1.4558	0.0017
1.4563	0.0018
1.4568	0.0019
1.4573	0.0021
1.4578	0.0023
1.4583	0.0025
1.4588	0.0027
1.4593	0.0030
1.4598	0.0031
1.4603	0.0034
1.4608	0.0037
1.4613	0.0040
1.4618	0.0044
1.4623	0.0048
1.4628	0.0052
1.4633	0.0055
1.4638	0.0059
1.4643	0.0065
1.4648	0.0070
1.4653	0.0074
1.4658	0.0080
1.4663	0.0084
1.4668	0.0091
1.4673	0.0098
1.4678	0.0106
1.4683	0.0113
1.4688	0.0121
1.4693	0.0131
1.4698	0.0141
1.4703	0.0153
1.4708	0.0166
1.4713	0.0179
1.4718	0.0195
1.4723	0.0210
1.4728	0.0228
1.4733	0.0248
1.4738	0.0273
1.4743	0.0301
1.4748	0.0326
1.4753	0.0357
1.4758	0.0393
1.4763	0.0429
1.4768	0.0474
1.4773	0.0534
1.4778	0.0590
1.4783	0.0658
1.4788	0.0730
1.4793	0.0820
1.4798	0.0923
1.4803	0.1040
