Wavelength (micron)	F2 Net System Transmission with J Filter (BARR MAN256-1; Gemini ID J_G0802) (1=100%)
1.1000	0.0000
1.1005	0.0001
1.1010	0.0000
1.1015	0.0001
1.1020	0.0001
1.1025	0.0001
1.1030	0.0001
1.1035	0.0001
1.1040	0.0001
1.1045	0.0001
1.1050	0.0001
1.1055	0.0001
1.1060	0.0001
1.1065	0.0001
1.1070	0.0001
1.1075	0.0001
1.1080	0.0001
1.1085	0.0001
1.1090	0.0001
1.1095	0.0001
1.1100	0.0001
1.1105	0.0001
1.1110	0.0001
1.1115	0.0001
1.1120	0.0001
1.1125	0.0001
1.1130	0.0001
1.1135	0.0001
1.1140	0.0001
1.1145	0.0001
1.1150	0.0001
1.1155	0.0001
1.1160	0.0001
1.1165	0.0001
1.1170	0.0001
1.1175	0.0001
1.1180	0.0001
1.1185	0.0001
1.1190	0.0001
1.1195	0.0001
1.1200	0.0001
1.1205	0.0001
1.1210	0.0001
1.1215	0.0001
1.1220	0.0001
1.1225	0.0001
1.1230	0.0001
1.1235	0.0001
1.1240	0.0001
1.1245	0.0001
1.1250	0.0001
1.1255	0.0001
1.1260	0.0002
1.1265	0.0002
1.1270	0.0002
1.1275	0.0002
1.1280	0.0002
1.1285	0.0002
1.1290	0.0002
1.1295	0.0002
1.1300	0.0002
1.1305	0.0003
1.1310	0.0003
1.1315	0.0003
1.1320	0.0002
1.1325	0.0003
1.1330	0.0003
1.1335	0.0003
1.1340	0.0003
1.1345	0.0003
1.1350	0.0003
1.1355	0.0003
1.1360	0.0003
1.1365	0.0003
1.1370	0.0004
1.1375	0.0004
1.1380	0.0004
1.1385	0.0004
1.1390	0.0005
1.1395	0.0005
1.1400	0.0005
1.1405	0.0006
1.1410	0.0007
1.1415	0.0008
1.1420	0.0009
1.1425	0.0011
1.1430	0.0012
1.1435	0.0014
1.1440	0.0017
1.1445	0.0019
1.1450	0.0022
1.1455	0.0026
1.1460	0.0029
1.1465	0.0032
1.1470	0.0034
1.1475	0.0036
1.1480	0.0038
1.1485	0.0039
1.1490	0.0039
1.1495	0.0039
1.1500	0.0039
1.1505	0.0038
1.1510	0.0038
1.1515	0.0038
1.1520	0.0038
1.1525	0.0038
1.1530	0.0039
1.1535	0.0040
1.1540	0.0042
1.1545	0.0044
1.1550	0.0047
1.1555	0.0049
1.1560	0.0053
1.1565	0.0058
1.1570	0.0064
1.1575	0.0072
1.1580	0.0081
1.1585	0.0093
1.1590	0.0106
1.1595	0.0124
1.1600	0.0145
1.1605	0.0172
1.1610	0.0208
1.1615	0.0247
1.1620	0.0294
1.1625	0.0351
1.1630	0.0421
1.1635	0.0503
1.1640	0.0591
1.1645	0.0692
1.1650	0.0790
1.1655	0.0888
1.1660	0.0986
1.1665	0.1083
1.1670	0.1174
1.1675	0.1251
1.1680	0.1324
1.1685	0.1392
1.1690	0.1464
1.1695	0.1540
1.1700	0.1630
1.1705	0.1731
1.1710	0.1840
1.1715	0.1979
1.1720	0.2128
1.1725	0.2299
1.1730	0.2528
1.1735	0.2763
1.1740	0.3021
1.1745	0.3287
1.1750	0.3574
1.1755	0.3852
1.1760	0.4145
1.1765	0.4458
1.1770	0.4699
1.1775	0.4922
1.1780	0.5098
1.1785	0.5242
1.1790	0.5342
1.1795	0.5408
1.1800	0.5443
1.1805	0.5454
1.1810	0.5455
1.1815	0.5449
1.1820	0.5441
1.1825	0.5438
1.1830	0.5442
1.1835	0.5453
1.1840	0.5470
1.1845	0.5489
1.1850	0.5513
1.1855	0.5543
1.1860	0.5567
1.1865	0.5585
1.1870	0.5600
1.1875	0.5620
1.1880	0.5632
1.1885	0.5635
1.1890	0.5625
1.1895	0.5592
1.1900	0.5553
1.1905	0.5508
1.1910	0.5463
1.1915	0.5414
1.1920	0.5361
1.1925	0.5312
1.1930	0.5269
1.1935	0.5236
1.1940	0.5210
1.1945	0.5189
1.1950	0.5176
1.1955	0.5170
1.1960	0.5171
1.1965	0.5178
1.1970	0.5192
1.1975	0.5196
1.1980	0.5205
1.1985	0.5216
1.1990	0.5235
1.1995	0.5279
1.2000	0.5326
1.2005	0.5370
1.2010	0.5412
1.2015	0.5458
1.2020	0.5498
1.2025	0.5537
1.2030	0.5569
1.2035	0.5569
1.2040	0.5565
1.2045	0.5558
1.2050	0.5549
1.2055	0.5548
1.2060	0.5547
1.2065	0.5543
1.2070	0.5539
1.2075	0.5544
1.2080	0.5549
1.2085	0.5555
1.2090	0.5562
1.2095	0.5574
1.2100	0.5589
1.2105	0.5604
1.2110	0.5620
1.2115	0.5635
1.2120	0.5650
1.2125	0.5666
1.2130	0.5683
1.2135	0.5688
1.2140	0.5693
1.2145	0.5701
1.2150	0.5707
1.2155	0.5727
1.2160	0.5748
1.2165	0.5769
1.2170	0.5790
1.2175	0.5798
1.2180	0.5808
1.2185	0.5817
1.2190	0.5824
1.2195	0.5810
1.2200	0.5798
1.2205	0.5785
1.2210	0.5772
1.2215	0.5761
1.2220	0.5748
1.2225	0.5738
1.2230	0.5727
1.2235	0.5748
1.2240	0.5772
1.2245	0.5793
1.2250	0.5815
1.2255	0.5827
1.2260	0.5838
1.2265	0.5851
1.2270	0.5862
1.2275	0.5866
1.2280	0.5870
1.2285	0.5872
1.2290	0.5872
1.2295	0.5889
1.2300	0.5905
1.2305	0.5919
1.2310	0.5932
1.2315	0.5950
1.2320	0.5967
1.2325	0.5983
1.2330	0.5998
1.2335	0.6005
1.2340	0.6012
1.2345	0.6018
1.2350	0.6024
1.2355	0.6015
1.2360	0.6006
1.2365	0.5997
1.2370	0.5987
1.2375	0.5981
1.2380	0.5974
1.2385	0.5968
1.2390	0.5964
1.2395	0.5965
1.2400	0.5968
1.2405	0.5975
1.2410	0.5980
1.2415	0.5987
1.2420	0.5996
1.2425	0.6004
1.2430	0.6015
1.2435	0.6008
1.2440	0.6000
1.2445	0.5995
1.2450	0.5989
1.2455	0.6001
1.2460	0.6013
1.2465	0.6026
1.2470	0.6037
1.2475	0.6057
1.2480	0.6075
1.2485	0.6094
1.2490	0.6111
1.2495	0.6106
1.2500	0.6101
1.2505	0.6094
1.2510	0.6086
1.2515	0.6072
1.2520	0.6056
1.2525	0.6040
1.2530	0.6023
1.2535	0.6014
1.2540	0.6004
1.2545	0.5994
1.2550	0.5983
1.2555	0.5976
1.2560	0.5968
1.2565	0.5961
1.2570	0.5956
1.2575	0.5953
1.2580	0.5950
1.2585	0.5950
1.2590	0.5952
1.2595	0.5946
1.2600	0.5943
1.2605	0.5940
1.2610	0.5941
1.2615	0.5942
1.2620	0.5945
1.2625	0.5950
1.2630	0.5956
1.2635	0.5975
1.2640	0.5995
1.2645	0.6016
1.2650	0.6040
1.2655	0.6059
1.2660	0.6075
1.2665	0.6095
1.2670	0.6112
1.2675	0.6128
1.2680	0.6145
1.2685	0.6160
1.2690	0.6173
1.2695	0.6190
1.2700	0.6204
1.2705	0.6218
1.2710	0.6228
1.2715	0.6244
1.2720	0.6257
1.2725	0.6268
1.2730	0.6277
1.2735	0.6277
1.2740	0.6275
1.2745	0.6272
1.2750	0.6267
1.2755	0.6254
1.2760	0.6240
1.2765	0.6225
1.2770	0.6209
1.2775	0.6202
1.2780	0.6194
1.2785	0.6185
1.2790	0.6182
1.2795	0.6181
1.2800	0.6184
1.2805	0.6186
1.2810	0.6190
1.2815	0.6189
1.2820	0.6187
1.2825	0.6187
1.2830	0.6191
1.2835	0.6190
1.2840	0.6191
1.2845	0.6195
