# SERIES	TRANSITION	WAVELENGTH
Pfund	7-5	4.65378
Pfund	8-5	3.74056
Pfund	9-5	3.29699
Pfund	10-5	3.03920
Pfund	11-5	2.87300
Pfund	11-5	2.87300
Pfund	12-5	2.75827
Pfund	13-5	2.67513
Pfund	14-5	2.61265
Pfund	15-5	2.56433
Pfund	16-5	2.52609
Pfund	17-5	2.49525
Pfund	18-5	2.46999
Pfund	19-5	2.44900
Pfund	20-5	2.43136
Pfund	21-5	2.41639
Pfund	22-5	2.40355
Pfund	23-5	2.39248
Pfund	24-5	2.38282
Pfund	25-5	2.37438
Pfund	26-5	2.36694
Pfund	27-5	2.36035
Pfund	28-5	2.35448
Pfund	29-5	2.34924
Pfund	30-5	2.34453
Pfund	31-5	2.34028
Pfund	32-5	2.33644
Pfund	33-5	2.33296
Pfund	34-5	2.32979
