col0 col1
19000.02 112009458745344.0
19000.05 112008888320000.0
19000.08 112008301117440.0
19000.11 112007705526272.0
19000.14 112007076380672.0
19000.17 112006438846464.0
19000.2 112005792923648.0
19000.23 112005155389440.0
19000.26 112004534632448.0
19000.29 112003930652672.0
19000.32 112003343450112.0
19000.35 112002747858944.0
19000.38 112002143879168.0
19000.41 112001539899392.0
19000.44 112000919142400.0
19000.47 112000298385408.0
19000.5 111999669239808.0
19000.53 111999040094208.0
19000.56 111998402560000.0
19000.59 111997756637184.0
19000.62 111997085548544.0
19000.65 111996380905472.0
19000.68 111995651096576.0
19000.71 111994929676288.0
19000.74 111994241810432.0
19000.77 111993604276224.0
19000.8 111992958353408.0
19000.83 111992102715392.0
19000.86 111990567600128.0
19000.89 111987514146816.0
19000.92 111981918945280.0
19000.95 111973169627136.0
19000.98 111962323156992.0
19001.01 111952474931200.0
19001.04 111947475320832.0
19001.07 111949421477888.0
19001.1 111957055111168.0
19001.13 111966752342016.0
19001.16 111974998343680.0
19001.19 111980199280640.0
19001.22 111982640365568.0
19001.25 111983328231424.0
19001.28 111983168847872.0
19001.31 111982690697216.0
19001.34 111982111883264.0
19001.37 111981499514880.0
19001.4 111980878757888.0
19001.43 111980249612288.0
19001.46 111979628855296.0
19001.49 111978999709696.0
19001.52 111978370564096.0
19001.55 111977749807104.0
19001.58 111977120661504.0
19001.61 111976491515904.0
19001.64 111975862370304.0
19001.67 111975241613312.0
19001.7 111974612467712.0
19001.73 111973983322112.0
19001.76 111973362565120.0
19001.79 111972733419520.0
19001.82 111972104273920.0
19001.85 111971475128320.0
19001.88 111970854371328.0
19001.91 111970225225728.0
19001.94 111969596080128.0
19001.97 111968966934528.0
19002.0 111968346177536.0
19002.03 111967717031936.0
19002.06 111967087886336.0
19002.09 111966458740736.0
19002.12 111965837983744.0
19002.15 111965208838144.0
19002.18 111964579692544.0
19002.21 111963950546944.0
19002.24 111963329789952.0
19002.27 111962700644352.0
19002.3 111962063110144.0
19002.33 111961417187328.0
19002.36 111960729321472.0
19002.39 111959957569536.0
19002.42 111959034822656.0
19002.45 111957927526400.0
19002.48 111956686012416.0
19002.51 111955494830080.0
19002.54 111954563694592.0
19002.57 111954026823680.0
19002.6 111953825497088.0
19002.63 111953741611008.0
19002.66 111953590616064.0
19002.69 111953288626176.0
19002.72 111952844029952.0
19002.75 111952298770432.0
19002.78 111951694790656.0
19002.81 111951074033664.0
19002.84 111950461665280.0
19002.87 111949866074112.0
19002.9 111949304037376.0
19002.93 111948742000640.0
19002.96 111948179963904.0
19002.99 111947592761344.0
19003.02 111946988781568.0
19003.05 111946368024576.0
19003.08 111945747267584.0
19003.11 111945126510592.0
19003.14 111944497364992.0
19003.17 111943868219392.0
19003.2 111943239073792.0
19003.23 111942609928192.0
19003.26 111941972393984.0
19003.29 111941343248384.0
19003.32 111940705714176.0
19003.35 111940059791360.0
19003.38 111939388702720.0
19003.41 111938675671040.0
19003.44 111937895530496.0
19003.47 111937023115264.0
19003.5 111936075202560.0
19003.53 111935110512640.0
19003.56 111934212931584.0
19003.59 111933457956864.0
19003.62 111932862365696.0
19003.65 111932375826432.0
19003.68 111931948007424.0
19003.71 111931511799808.0
19003.74 111931058814976.0
19003.77 111930580664320.0
19003.8 111930094125056.0
19003.83 111929607585792.0
19003.86 111929112657920.0
19003.89 111928600952832.0
19003.92 111928064081920.0
19003.95 111927493656576.0
19003.98 111926898065408.0
19004.01 111926285697024.0
19004.04 111925664940032.0
19004.07 111925035794432.0
19004.1 111924415037440.0
19004.13 111923785891840.0
19004.16 111923156746240.0
19004.19 111922527600640.0
19004.22 111921898455040.0
19004.25 111921277698048.0
19004.28 111920648552448.0
19004.31 111920019406848.0
19004.34 111919390261248.0
19004.37 111918761115648.0
19004.4 111918131970048.0
19004.43 111917511213056.0
19004.46 111916882067456.0
19004.49 111916252921856.0
19004.52 111915623776256.0
19004.55 111914994630656.0
19004.58 111914365485056.0
19004.61 111913736339456.0
19004.64 111913107193856.0
19004.67 111912461271040.0
19004.7 111911798571008.0
19004.73 111911085539328.0
19004.76 111910330564608.0
19004.79 111909525258240.0
19004.82 111908719951872.0
19004.85 111907981754368.0
19004.88 111907352608768.0
19004.91 111906840903680.0
19004.94 111906387918848.0
19004.97 111905901379584.0
19005.0 111905330954240.0
19005.03 111904617922560.0
19005.06 111903720341504.0
19005.09 111902596268032.0
19005.12 111901262479360.0
19005.15 111899811250176.0
19005.18 111898460684288.0
19005.21 111897479217152.0
19005.24 111897017843712.0
19005.27 111897017843712.0
19005.3 111897227558912.0
19005.33 111897361776640.0
19005.36 111897286279168.0
19005.39 111896992677888.0
19005.42 111896548081664.0
19005.45 111896027987968.0
19005.48 111895457562624.0
19005.51 111894853582848.0
19005.54 111894241214464.0
19005.57 111893620457472.0
19005.6 111892974534656.0
19005.63 111892295057408.0
19005.66 111891523305472.0
19005.69 111890592169984.0
19005.72 111889434542080.0
19005.75 111888075587584.0
19005.78 111886674690048.0
19005.81 111885475119104.0
19005.84 111884669812736.0
19005.87 111884250382336.0
19005.9 111884049055744.0
19005.93 111883906449408.0
19005.96 111883755454464.0
19005.99 111883579293696.0
19006.02 111883352801280.0
19006.05 111883017256960.0
19006.08 111882539106304.0
19006.11 111881943515136.0
19006.14 111881280815104.0
19006.17 111880609726464.0
19006.2 111879988969472.0
19006.23 111879426932736.0
19006.26 111878890061824.0
19006.29 111878361579520.0
19006.32 111877807931392.0
19006.35 111877229117440.0
19006.38 111876625137664.0
19006.41 111876004380672.0
19006.44 111875375235072.0
19006.47 111874754478080.0
19006.5 111874116943872.0
19006.53 111873487798272.0
19006.56 111872858652672.0
19006.59 111872212729856.0
19006.62 111871541641216.0
19006.65 111870786666496.0
19006.68 111869855531008.0
19006.71 111868555296768.0
19006.74 111866575585280.0
19006.77 111863572463616.0
19006.8 111859151667200.0
19006.83 111853296418816.0
19006.86 111846434537472.0
19006.89 111839589433344.0
19006.92 111834162003968.0
19006.95 111831427317760.0
19006.98 111831980965888.0
19007.01 111835487404032.0
19007.04 111840805781504.0
19007.07 111846535200768.0
19007.1 111851492868096.0
19007.13 111855066415104.0
19007.16 111857180344320.0
19007.19 111858153422848.0
19007.22 111858354749440.0
19007.25 111858103091200.0
19007.28 111857633329152.0
19007.31 111857054515200.0
19007.34 111856442146816.0
19007.37 111855813001216.0
19007.4 111855175467008.0
19007.43 111854546321408.0
19007.46 111853908787200.0
19007.49 111853271252992.0
19007.52 111852625330176.0
19007.55 111851987795968.0
19007.58 111851350261760.0
19007.61 111850704338944.0
19007.64 111850066804736.0
19007.67 111849412493312.0
19007.7 111848766570496.0
19007.73 111848103870464.0
19007.76 111847432781824.0
19007.79 111846719750144.0
19007.82 111845931220992.0
19007.85 111844983308288.0
19007.88 111843750182912.0
19007.91 111842156347392.0
19007.94 111840218578944.0
19007.97 111838062706688.0
19008.0 111835680342016.0
19008.03 111832836603904.0
19008.06 111828919123968.0
19008.09 111823323922432.0
19008.12 111815975501824.0
19008.15 111807771443200.0
19008.18 111800355913728.0
19008.21 111795297583104.0
19008.24 111793242374144.0
19008.27 111793577918464.0
19008.3 111795037536256.0
19008.33 111796581040128.0
19008.36 111797914828800.0
19008.39 111799298949120.0
19008.42 111801094111232.0
19008.45 111803510030336.0
19008.48 111806462820352.0
19008.51 111809717600256.0
19008.54 111812938825728.0
19008.57 111815774175232.0
19008.6 111817980379136.0
19008.63 111819481939968.0
19008.66 111820463407104.0
19008.69 111821243547648.0
19008.72 111822057242624.0
19008.75 111822896103424.0
19008.78 111823567192064.0
19008.81 111823927902208.0
19008.84 111823877570560.0
19008.87 111823441362944.0
19008.9 111822711554048.0
19008.93 111821772029952.0
19008.96 111820782174208.0
19008.99 111819892981760.0
19009.02 111819238670336.0
19009.05 111818852794368.0
19009.08 111818592747520.0
19009.11 111818341089280.0
19009.14 111818005544960.0
19009.17 111817535782912.0
19009.2 111816973746176.0
19009.23 111816327823360.0
19009.26 111815623180288.0
19009.29 111814868205568.0
19009.32 111814012567552.0
19009.35 111812905271296.0
19009.38 111811110109184.0
19009.41 111807494619136.0
19009.44 111799651270656.0
19009.47 111783914242048.0
19009.5 111756827426816.0
19009.53 111718885752832.0
19009.56 111677949345792.0
19009.59 111648153010176.0
19009.62 111642180321280.0
19009.65 111662514307072.0
19009.68 111699600343040.0
19009.71 111738716422144.0
19009.74 111769024462848.0
19009.77 111787403902976.0
19009.8 111796211941376.0
19009.83 111799349280768.0
19009.86 111799860985856.0
19009.89 111799533830144.0
19009.92 111799139565568.0
19009.95 111798837575680.0
19009.98 111798502031360.0
19010.01 111797973549056.0
19010.04 111797268905984.0
19010.07 111796564262912.0
19010.1 111796010614784.0
19010.13 111795658293248.0
19010.16 111795398246400.0
19010.19 111795096256512.0
19010.22 111794743934976.0
19010.25 111794341281792.0
19010.28 111793930240000.0
19010.31 111793477255168.0
19010.34 111792957161472.0
19010.37 111792336404480.0
19010.4 111791656927232.0
19010.43 111790952284160.0
19010.46 111790239252480.0
19010.49 111789433946112.0
19010.52 111788335038464.0
19010.55 111786707648512.0
19010.58 111784367226880.0
19010.61 111781540265984.0
19010.64 111778864300032.0
19010.67 111777169801216.0
19010.7 111776951697408.0
19010.73 111777983496192.0
19010.76 111779493445632.0
19010.79 111780667850752.0
19010.82 111781095669760.0
19010.85 111780835622912.0
19010.88 111780223254528.0
19010.91 111779627663360.0
19010.94 111779233398784.0
19010.97 111779023683584.0
19011.0 111778822356992.0
19011.03 111778562310144.0
19011.06 111778168045568.0
19011.09 111777656340480.0
19011.12 111777069137920.0
19011.15 111776465158144.0
19011.18 111775836012544.0
19011.21 111775206866944.0
19011.24 111774577721344.0
19011.27 111773931798528.0
19011.3 111773285875712.0
19011.33 111772606398464.0
19011.36 111771868200960.0
19011.39 111770995785728.0
19011.42 111769863323648.0
19011.45 111768135270400.0
19011.48 111765417361408.0
19011.51 111761181114368.0
19011.54 111754847715328.0
19011.57 111746123563008.0
19011.6 111735570694144.0
19011.63 111725135265792.0
19011.66 111717879119872.0
19011.69 111716419502080.0
19011.72 111721142288384.0
19011.75 111729891606528.0
19011.78 111739454619648.0
19011.81 111747415408640.0
19011.84 111752909946880.0
19011.87 111756198281216.0
19011.9 111757892780032.0
19011.93 111758530314240.0
19011.96 111758387707904.0
19011.99 111757506904064.0
19012.02 111755678187520.0
19012.05 111752666677248.0
19012.08 111748480761856.0
19012.11 111743766364160.0
19012.14 111739798552576.0
19012.17 111737894338560.0
19012.2 111738624147456.0
19012.23 111741392388096.0
19012.26 111744865271808.0
19012.29 111747801284608.0
19012.32 111749604835328.0
19012.35 111750317867008.0
19012.38 111750309478400.0
19012.41 111749915213824.0
19012.44 111749361565696.0
19012.47 111748749197312.0
19012.5 111748128440320.0
19012.53 111747499294720.0
19012.56 111746861760512.0
19012.59 111746232614912.0
19012.62 111745595080704.0
19012.65 111744957546496.0
19012.68 111744328400896.0
19012.71 111743690866688.0
19012.74 111743053332480.0
19012.77 111742424186880.0
19012.8 111741803429888.0
19012.83 111741174284288.0
19012.86 111740545138688.0
19012.89 111739915993088.0
19012.92 111739286847488.0
19012.95 111738649313280.0
19012.98 111738011779072.0
19013.01 111737357467648.0
19013.04 111736644435968.0
19013.07 111735813963776.0
19013.1 111734723444736.0
19013.13 111733205106688.0
